"","homeSpp","awaySpp","Treatment","diff.mean","diff.95lo","diff.95hi"
"1","ARTR","HECO","Control",-0.0918700605,-0.283292875,0.117885625
"2","ARTR","POSE","Feedback",-0.00258225777777778,-0.557024166666667,0.62751861111111
"3","ARTR","PSSP","Exclusion",-4.47843618844444,-9.62489384722222,-0.328308694444446
"4","ARTR","BARE","Control",0.092670002,-0.0686465,0.2831115
"5","ARTR","HECO","Feedback",-1.11826915138889,-2.11435909722222,-0.2208621875
"6","ARTR","POSE","Exclusion",0.00901068933333339,-2.62445,2.78630825
"7","ARTR","PSSP","Control",-0.0911099855,-0.3066833125,0.1309688125
"8","ARTR","BARE","Feedback",0.0364243733333334,-0.541978333333333,0.659584444444443
"9","ARTR","HECO","Exclusion",0.572318967666667,-1.69281841666667,3.22593416666667
"10","ARTR","POSE","Control",0.0258611034285714,-0.171499428571429,0.235440071428571
"11","ARTR","PSSP","Feedback",-1.23781525619048,-2.52237662698413,-0.194608134920636
"12","ARTR","BARE","Exclusion",0.388247492666667,-1.578280375,2.984520625
"13","HECO","ARTR","Control",-0.0578485757333333,-0.2661003,0.133753894444444
"14","HECO","POSE","Feedback",0.1163009664,-0.486878391666667,0.593695816666666
"15","HECO","PSSP","Exclusion",0.265720066666667,-0.793530333333333,1.46399708333333
"16","HECO","BARE","Control",0.109115905822222,0.000504308333333342,0.252599638888889
"17","HECO","ARTR","Feedback",0.0608748316,-0.5479749,0.55061245
"18","HECO","POSE","Exclusion",0.234799687066667,-0.762866580555556,1.39303683333333
"19","HECO","PSSP","Control",0.0843385336,-0.03307915,0.231990975
"20","HECO","BARE","Feedback",0.3359889895,0.00951950000000001,0.70152
"21","HECO","ARTR","Exclusion",0.0612817064444445,-0.88895975,1.21598144444444
"22","HECO","POSE","Control",0.0905652896,-0.0372003,0.240666525
"23","HECO","PSSP","Feedback",-0.045108606,-0.453751833333333,0.3782079
"24","HECO","BARE","Exclusion",0.491000467809524,-0.362472,1.60256420634921
"25","POSE","ARTR","Control",-0.4338441944,-1.4973943,0.428905425
"26","POSE","HECO","Feedback",0.6542727994,-0.2861587,1.7620755
"27","POSE","PSSP","Exclusion",-0.0990784635999999,-3.173654225,3.0419044
"28","POSE","BARE","Control",0.3404962486,-0.034973325,0.90614245
"29","POSE","ARTR","Feedback",-0.5368498524,-2.0145341,0.862582349999997
"30","POSE","HECO","Exclusion",0.3892427494,-2.32096695,3.350192825
"31","POSE","PSSP","Control",0.0292874896,-0.53203305,0.643449975
"32","POSE","BARE","Feedback",0.7389904352,-0.1559479,1.80783765
"33","POSE","ARTR","Exclusion",0.2526037706,-2.4796708,3.15791314999999
"34","POSE","HECO","Control",-0.0112145966,-0.554276675,0.6036706
"35","POSE","PSSP","Feedback",-0.6694682906,-2.3616531,0.816183174999999
"36","POSE","BARE","Exclusion",1.4459214976,-0.82198355,4.18631565
"37","PSSP","ARTR","Control",-0.414369526666667,-0.965308555555556,0.109908666666667
"38","PSSP","HECO","Feedback",0.411674788,-1.7191295,1.9358865
"39","PSSP","POSE","Exclusion",1.431312536,-0.74694225,3.95438
"40","PSSP","BARE","Control",0.0802598913333333,-0.824181222222222,0.618542361111111
"41","PSSP","ARTR","Feedback",0.12671768,-1.28130525,1.47809775
"42","PSSP","HECO","Exclusion",-1.580284422,-4.9439555,1.82972625
"43","PSSP","POSE","Control",0.122170307333333,-0.374895666666667,0.584207944444444
"44","PSSP","BARE","Feedback",0.935543976,-0.103442,2.12123875
"45","PSSP","ARTR","Exclusion",0.073820532,-2.61964775,3.00785224999999
"46","PSSP","HECO","Control",-0.00382413846666667,-0.505109025,0.46045895
"47","PSSP","POSE","Feedback",0.692532506,-0.57113325,1.97681475
"48","PSSP","BARE","Exclusion",2.208753546,0.127577444444445,4.6374635
