Year,ID,Total,Blue,DSE,Microsclerotia,Extra-radical,BSF,Vesicles,Notes
2019,48,100,74,18,1,16,4,16,
2019,485,100,61,2,0,20,7,2,
2019,127,97,42,0,1,0,2,0,
2019,121,100,67,12,1,4,4,8,
2019,140,100,38,6,0,17,4,0,Hard to focus on roots
2019,367,100,14,3,0,1,1,0,
2019,107,100,28,10,0,1,3,9,
2019,541,100,43,30,6,3,3,5,
2019,592,100,18,4,0,0,0,1,
2019,449,100,58,1,11,15,3,4,
2019,433,100,34,10,0,1,1,1,
2019,281,65,25,4,0,1,0,4,
2019,25,100,31,4,0,1,0,0,
2019,6,100,15,2,2,1,0,0,
2019,320,100,31,40,7,1,9,0,
2019,185,100,39,0,0,7,4,2,
2019,136,100,10,24,0,5,0,0,
2019,501,100,69,19,0,6,26,5,
2019,493,100,70,10,3,5,7,8,
2019,406,100,30,13,0,3,0,8,
2019,72,100,57,28,0,16,7,9,
2019,57,100,80,0,0,5,12,18,
2019,287,100,3,0,0,1,25,0,
2019,255,100,45,10,0,1,25,6,
2019,113,100,35,6,0,0,4,0,
2019,528,100,14,0,0,0,3,0,
2019,76,100,0,16,0,0,4,0,
2019,327,100,12,0,0,0,2,0,
2019,510,100,64,14,4,4,34,3,
2019,515,100,13,0,4,1,5,0,
2019,146,100,9,3,0,1,1,0,
2019,324,100,29,27,1,0,5,0,
2019,492,100,81,42,4,2,9,11,
2019,410,100,39,4,9,1,5,4,
2019,356,100,34,14,0,2,2,0,
2019,465,100,62,10,4,2,0,8,
2019,370,100,30,11,0,4,2,2,
2019,427,100,37,14,0,0,13,2,
2019,243,100,42,9,0,10,7,0,
2019,549,100,51,38,0,9,2,0,
2019,195,100,75,3,0,2,8,6,
2019,394,100,55,4,1,0,1,6,
2019,223,100,45,12,4,6,0,0,
2019,338,100,17,3,0,1,8,0,
2019,368,74,23,10,0,2,0,5,
2019,44,100,25,1,1,6,0,9,
2019,230,100,30,5,0,8,0,1,
2019,571,100,46,5,2,3,0,2,
2019,565,95,66,2,5,17,2,5,
2019,566,100,60,2,0,12,28,3,
2019,108,100,32,7,0,6,3,5,
2019,65,100,71,0,0,16,2,14,
2019,218,100,20,2,0,3,0,0,
2019,555,100,39,9,0,6,1,0,
2019,112,100,31,6,0,5,0,0,
2019,344,100,60,6,0,9,10,4,
2019,332,100,12,8,7,4,2,0,
2019,275,100,17,0,0,0,0,0,
2019,258,100,50,9,4,11,1,6,
2019,306,100,22,2,1,2,2,0,
2019,202,100,3,0,0,0,1,0,
2019,339,100,54,5,2,14,6,7,
2019,229,100,26,1,1,1,0,12,
2019,286,100,21,6,3,6,2,0,super mass of DSE
2019,199,100,19,5,0,3,0,1,
2019,442,100,23,1,0,11,4,0,
2019,295,100,17,1,0,1,2,0,
2019,504,100,64,10,0,14,10,18,
2019,453,100,38,25,0,4,3,0,
2019,375,100,49,30,0,10,10,2,some segments very dark
2019,468,100,23,2,4,7,21,8,
2019,96,100,26,25,1,4,13,3,
2019,343,100,29,5,1,10,6,2,
2019,348,100,30,12,1,5,4,3,
2019,323,100,16,7,2,3,7,0,"interesting BSF inside of ""casing"" like structure"
2019,357,100,36,20,1,2,10,3,
2019,346,100,3,0,0,0,0,1,
2019,396,89,54,22,2,5,17,5,
2019,456,100,56,20,0,7,9,18,
2019,363,80,23,11,0,3,7,4,
2019,307,76,3,14,3,1,8,4,
2019,404,100,34,4,1,10,10,4,
2019,342,102,39,34,3,12,13,0,
2019,308,100,42,14,2,20,16,2,
2019,319,100,25,10,6,4,4,0,
2019,407,100,40,8,2,23,1,2,
2019,84,100,67,18,1,8,8,9,
2019,249,100,58,33,1,3,9,5,
2019,392,100,33,10,2,6,3,3,
2019,445,100,6,0,3,1,0,0,
2019,507,85,38,3,1,7,13,0,
2019,384,100,28,34,1,5,0,2,
2019,405,100,29,15,0,2,2,0,
2019,503,100,40,3,0,11,7,1,
2019,200,100,100,2,1,3,0,0,
2019,247,100,25,18,3,6,6,1,
2019,47,100,12,8,0,7,1,0,
2019,372,100,21,29,0,1,8,1,
2019,262,100,12,6,0,5,11,0,
2019,393,100,39,5,1,4,8,0,
2019,379,100,33,20,0,9,4,3,
2019,331,100,10,11,2,0,4,0,
2019,263,100,9,0,4,3,8,0,
2019,355,100,29,29,1,6,7,1,
2019,226,100,10,12,0,1,14,0,
2019,380,100,17,2,0,8,3,0,
2019,264,100,56,12,0,8,25,3,
2019,248,100,51,2,0,18,7,7,
2019,94,100,48,43,1,3,25,5,
2019,462,100,44,41,10,11,10,10,
2019,260,100,21,1,0,6,7,0,
2019,40,100,14,2,0,3,6,0,
2019,224,100,37,4,0,11,15,1,
2019,271,100,15,2,1,1,9,4,
2019,428,100,28,0,7,9,18,0,
2019,335,100,19,14,0,0,3,2,
2019,443,100,0,4,2,4,8,0,
2019,321,100,30,13,6,2,3,0,
2019,369,100,40,17,1,12,13,3,
2019,575,100,8,1,0,2,1,0,
2019,362,100,32,2,0,5,4,4,
2019,351,100,54,10,0,4,2,10,
2019,322,99,22,15,0,2,4,1,
2019,567,100,47,39,0,2,12,3,
2019,390,100,37,18,0,2,8,5,
2019,192,100,48,42,1,4,7,11,
2019,478,100,8,16,2,0,1,0,
2019,52,100,20,24,0,0,7,0,
2019,561,100,51,10,0,13,16,0,
2019,420,100,4,0,0,1,0,0,
2019,381,100,63,36,1,13,3,10,
2019,132,100,23,12,0,9,4,0,
2019,548,100,28,1,3,1,2,1,
2019,513,100,68,2,0,8,16,14,
2019,142,72,2,6,0,0,1,0,
2019,105,100,49,17,0,1,0,12,
2019,559,100,56,11,5,16,7,8,
2019,540,100,43,6,1,7,2,1,
2019,595,100,41,21,7,2,2,3,
2019,530,100,24,2,8,9,4,4,
2019,454,100,70,27,0,7,12,10,
2019,449,100,76,1,0,8,5,17,Arbuscules present
2019,231,100,27,8,4,0,2,0,
2019,213,100,44,22,16,1,8,7,
2019,173,100,30,9,1,6,6,2,
2019,539,100,7,1,0,3,0,0,
2019,131,100,10,2,0,6,1,0,
2019,488,100,55,27,4,4,7,13,Dark DSE Clump
2019,190,100,7,10,1,2,0,0,
2019,66,100,68,45,2,15,6,12,
2019,172,100,49,17,12,13,3,4,
2019,477,100,69,11,0,7,7,27,
2019,475,100,35,10,6,9,4,8,
2019,176,100,6,3,0,1,1,1,
2019,463,102,22,2,1,4,0,1,
2019,45,100,39,37,2,10,1,2,
2019,535,100,19,13,11,5,2,0,
2019,15,100,67,19,1,8,7,38,
2019,54,100,41,29,0,15,1,2,
2019,36,100,46,5,0,4,15,0,
2019,394,100,18,13,0,5,9,0,
2019,143,92,10,3,0,2,0,0,
2019,500,100,66,6,14,6,5,32,
2019,211,100,14,5,0,1,0,0,
2019,23,102,26,6,19,6,3,0,
2019,310,100,32,7,0,4,5,0,
2019,163,100,13,6,0,2,0,0,
2019,452,100,3,1,1,0,0,0,
2019,434,100,32,19,0,6,0,6,
2019,102,100,90,32,9,10,12,16,
2019,354,100,4,4,0,1,0,0,
2019,302,100,14,1,0,5,0,0,
2019,418,100,39,5,0,2,8,3,
2019,144,100,44,16,0,9,13,0,
2019,495,100,66,16,0,6,20,34,
2019,119,100,30,2,0,9,3,5,
2019,512,100,16,2,3,1,3,6,
2019,41,100,29,5,0,8,2,0,
2019,69,100,36,32,2,4,4,0,
2019,473,100,18,2,0,12,0,0,
2019,225,100,31,15,0,2,1,4,
2019,137,100,27,2,0,7,2,3,
2019,3,103,59,42,0,22,8,2,
2019,222,100,57,16,0,2,3,19,
2019,129,100,70,11,6,13,11,22,
2019,160,100,18,8,0,1,0,2,
2019,395,100,18,0,0,3,6,2,
2019,567,100,11,3,0,1,1,0,
2019,179,100,10,0,0,5,8,0,
2019,483,100,68,21,0,3,9,9,
2019,336,100,17,18,1,2,1,0,
2019,188,100,8,0,3,4,2,0,
2019,517,100,37,1,1,0,6,22,
2019,177,100,34,14,0,6,0,1,
2019,106,100,10,1,0,2,0,0,
2019,227,84,4,1,0,3,0,0,
2019,422,100,6,0,0,0,0,0,
2019,588,100,7,4,0,0,2,0,
2019,168,100,28,22,0,2,4,0,
2019,171,99,76,23,1,4,4,27,
2019,469,100,81,4,0,8,1,13,
2019,444,100,31,3,0,2,0,1,
2019,63,100,65,30,0,12,19,21,
2019,237,100,70,23,4,7,6,15,
2019,403,100,60,22,5,5,7,7,
2019,487,100,57,4,0,4,11,3,
2019,240,100,20,31,0,7,0,0,
2019,214,100,13,5,0,0,0,0,
2019,138,100,50,16,0,12,5,2,overstained
2019,490,100,20,31,0,7,0,0,
2019,11,100,16,10,0,1,0,0,
2019,383,100,14,4,1,7,3,1,
2019,474,100,57,9,1,3,16,13,
2019,599,100,18,0,1,4,9,1,
2019,34,100,12,1,0,0,5,0,
2019,35,100,5,0,0,1,1,0,
2019,58,100,4,2,0,0,0,0,
2019,30,100,47,25,0,3,8,5,
2019,139,100,29,0,0,5,1,0,
2019,576,100,58,18,1,13,5,6,
2019,178,100,10,5,1,4,2,0,
2019,32,100,23,23,2,7,5,0,
2019,18,100,55,21,1,4,10,3,
2019,42,100,73,24,1,4,5,16,
2019,152,100,26,3,0,2,2,0,
2019,524,85,17,0,3,0,2,1,
2019,38,100,27,2,0,3,2,6,
2019,480,100,38,26,0,6,28,13,
2019,347,100,18,9,1,2,1,0,
2019,429,100,44,9,0,2,12,4,
2019,551,65,37,20,0,3,4,6,
2019,233,100,0,0,0,0,0,0,
2019,234,100,36,6,0,12,1,1,
2019,1,100,30,10,2,0,1,0,
2019,150,100,39,19,0,8,2,3,
2019,158,100,16,2,0,1,2,0,
2019,491,100,5,7,0,1,0,0,
2019,187,100,16,5,0,4,0,0,
2019,167,100,7,1,0,3,1,0,
2019,104,100,23,3,0,6,6,0,
2019,498,100,63,35,0,8,19,22,
2019,87,100,44,45,2,8,1,7,
2019,161,100,2,1,0,3,0,0,
2019,170,100,59,4,0,12,1,5,
2019,12,100,26,11,4,2,2,0,
