"","ID","Rep","FocalNew","NeighborNew","F.H","N.live","N.dead","F.mass","N.all.mass","N.max","Type","N.all.percap","N.live.percap"
"98",98,3,"PSSP","PSSP",1,4,0,31.9,57.7,0,"Intra",14.425,57.7
"99",99,3,"PSSP","PSSP",1,9,0,8.6,82.2,0,"Intra",9.13333333333333,82.2
"100",100,3,"PSSP","PSSP",1,7,0,8.5,51,0,"Intra",7.28571428571429,51
"101",101,3,"PSSP","PSSP",1,1,0,19.8,26.3,0,"Intra",26.3,26.3
"102",102,3,"ARTR","ARTR",1,0,0,31.6,NA,1,"Solo",NA,NA
"103",103,3,"PSSP","ARTR",1,1,0,25,1.2,2,"Inter",1.2,1.2
"104",104,3,"PSSP","ARTR",1,1,0,16.9,16.9,1,"Inter",16.9,16.9
"105",105,3,"PSSP","POSE",1,1,0,24.1,38.1,1,"Inter",38.1,38.1
"106",106,3,"PSSP","POSE",1,5,0,5.3,54.4,5,"Inter",10.88,54.4
"107",107,3,"PSSP","POSE",1,7,0,19.6,28.4,7,"Inter",4.05714285714286,28.4
"108",108,3,"PSSP","POSE",1,11,0,20.2,32.8,11,"Inter",2.98181818181818,32.8
"109",109,4,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"110",110,4,"ARTR","ARTR",1,0,0,2.1,NA,0,"Solo",NA,NA
"111",111,4,"ARTR","ARTR",1,0,0,39.8,NA,0,"Solo",NA,NA
"112",112,4,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"113",113,4,"ARTR","POSE",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"114",114,4,"ARTR","POSE",1,4,0,6.8,19.7,4,"Inter",4.925,19.7
"115",115,4,"POSE","POSE",1,2,0,17.6,24.4,3,"Intra",12.2,24.4
"116",116,4,"ARTR","POSE",1,4,3,4.6,26.7,7,"Inter",3.81428571428571,15.2571428571429
"117",117,4,"ARTR","PSSP",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"118",118,4,"PSSP","PSSP",1,1,0,1.7,7.5,2,"Intra",7.5,7.5
"119",119,4,"ARTR","PSSP",1,1,0,4.6,66.7,1,"Inter",66.7,66.7
"120",120,4,"ARTR","PSSP",1,7,0,0.1,53.2,7,"Inter",7.6,53.2
"121",121,4,"POSE","POSE",1,0,0,35.7,NA,0,"Solo",NA,NA
"122",122,4,"POSE","POSE",1,2,0,15.1,15,0,"Intra",7.5,15
"123",123,4,"POSE","POSE",1,5,0,3.1,21.7,0,"Intra",4.34,21.7
"124",124,4,"POSE","POSE",1,6,0,5.3,22.8,0,"Intra",3.8,22.8
"125",125,4,"POSE","POSE",1,1,0,4.9,0.6,0,"Intra",0.6,0.6
"126",126,4,"POSE","ARTR",1,1,0,10.7,26.3,3,"Inter",26.3,26.3
"127",127,4,"POSE","ARTR",1,3,0,3.1,30.6,4,"Inter",10.2,30.6
"128",128,4,"ARTR","POSE",1,1,1,43.7,2.4,2,"Inter",1.2,1.2
"129",129,4,"POSE","POSE",1,1,0,9.1,12.2,0,"Intra",12.2,12.2
"130",130,4,"PSSP","POSE",1,2,0,28.7,1.7,2,"Inter",0.85,1.7
"131",131,4,"POSE","PSSP",1,3,2,9.9,8.2,4,"Inter",1.64,4.92
"132",132,4,"POSE","PSSP",1,5,0,1.5,58.5,7,"Inter",11.7,58.5
"133",133,4,"PSSP","PSSP",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"134",134,4,"PSSP","PSSP",1,3,0,11.9,41.2,0,"Intra",13.7333333333333,41.2
"135",135,4,"PSSP","PSSP",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"136",136,4,"PSSP","PSSP",1,2,0,52.3,10.6,0,"Intra",5.3,10.6
"137",137,4,"PSSP","ARTR",1,0,0,43.7,NA,1,"Inter",NA,NA
"138",138,4,"PSSP","ARTR",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"139",139,4,"PSSP","ARTR",NA,NA,NA,NA,NA,1,"Inter",NA,NA
"140",140,4,"PSSP","ARTR",NA,NA,NA,NA,NA,1,"Inter",NA,NA
"141",141,4,"POSE","POSE",1,1,0,14.9,16.6,2,"Intra",16.6,16.6
"142",142,4,"POSE","POSE",1,1,0,6.8,8.8,2,"Intra",8.8,8.8
"143",143,4,"POSE","POSE",1,3,0,16.9,25.3,4,"Intra",8.43333333333333,25.3
"144",144,4,"PSSP","POSE",1,5,0,25.3,8.8,5,"Inter",1.76,8.8
"145",145,5,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"146",146,5,"ARTR","ARTR",1,0,0,34.1,NA,0,"Solo",NA,NA
"147",147,5,"ARTR","ARTR",1,0,0,33.5,NA,0,"Solo",NA,NA
"148",148,5,"ARTR","ARTR",1,4,0,8,44.4,0,"Intra",11.1,44.4
"149",149,5,"POSE","POSE",1,0,0,37.2,NA,1,"Solo",NA,NA
"150",150,5,"POSE","POSE",1,2,0,22.1,33,3,"Intra",16.5,33
"151",151,5,"ARTR","POSE",1,5,0,4.1,40.6,6,"Inter",8.12,40.6
"152",152,5,"ARTR","POSE",1,9,0,10.6,26.2,10,"Inter",2.91111111111111,26.2
"153",153,5,"ARTR","PSSP",1,2,0,9.6,56.5,2,"Inter",28.25,56.5
"154",154,5,"ARTR","PSSP",1,3,0,11.7,75.2,3,"Inter",25.0666666666667,75.2
"155",155,5,"PSSP","PSSP",1,2,0,12,34.5,3,"Intra",17.25,34.5
"156",156,5,"PSSP","PSSP",1,4,0,16.1,64,6,"Intra",16,64
"157",157,5,"POSE","POSE",1,0,0,35.1,NA,0,"Solo",NA,NA
"158",158,5,"POSE","POSE",1,3,0,30.9,25.8,0,"Intra",8.6,25.8
